objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
d001,d001_basilio_1775.pdf,Cualidades y riquezas del Nuevo Reino de Granada,Vicente Basilio de Oviedo,1775,"Basilio Vicente de Oviedo, Cualidades y Riquezas del Nuevo Reino de Granada, Imprenta Nacional, Bogotá, 1930.",riqueza; habitantes; Nuevo Reino de Granada; árboles; flora; fauna; aves; curatos; geografía,https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/128021,,,,,,application/pdf,es,Public domain,
d002,d002_mendinueta_1775.pdf,"Relación del estado del Nuevo Reino de Granada, presentado por el Excmo. Sr. Virrey Don Pedro Mendinueta a su sucesor el excmo. Sr. D. Antonio Amar y Borbón",Don Pedro Mendinueta,1803,"En Germán Colmenares. Relaciones e informes de los gobernantes de la Nueva Granada. Tomo II. Ed. Bogotá: Banco Popular, 1989.",instrucción; educación; minas; comercio; real hacienda; militar; artillería,https://revistas.unal.edu.co/index.php/analesun/article/view/12924/16044,,,,,,application/pdf,es,Public domain,
d003,d003_silvestre_1789.pdf,Descripción del reyno de Santa Fé de Bogotá,Francisco Silvestre,1789,"En ""Anales de la Instrucción Pública de Colombia"" Vol. 13 (p. 56-78; 147-158, 217-238) y Vol. 14 (p. 193-227).",Santafé; Audiencia de Quito; descubrimiento; comercio; límites; población; Tunja; tribunales militares; hacienda; indios; reducción; males políticos,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3794,,,,,,application/pdf,es,Public domain,
d004,d004_alsedo_1741.pdf,"Compendio Historico De La Provincia, Partidos, Ciudades, Astilleros, Rios, Y Puerto De Guayaguil En Las Costas De La Mar Del Sur",Dionisio de Alsedo y Herrera,1741,"En Alsedo, D., & Martínez, E. J. (1741). Compendio historico de la provincia, partidos, ciudades, astilleros, rios, y puerto de Guayaquil en las costas de la mar del sur. M. Fernandez.",puerto; Guayaquil; pirateria; topografía; comercio; productos; fauna; flora; barcos; arquitectura; demografía; historia,http://www.memoriachilena.gob.cl/archivos2/pdfs/MC0043102.pdf,,,,,,application/pdf,es,Public domain,
d005,d005_garcia_de_villalba_1787.pdf,"Descripción de la Provincia del Darién a norte y sur, medios de poblarlo al sur y discurso reflexivo sobre la conquista, por el teniente del Batallón de Panamá Don Manuel García de Villalba",Manuel García de Villalba,1787,"En Anuario Colombiano de Historia Social y de la Cultura, Número 3, p. 135-154, 1965.",ríos; poblaciones; poblamiento; conquista; Darien; indígenas; colonos; ,https://revistas.unal.edu.co/index.php/achsc/article/view/29681/29920,,,,,,application/pdf,es,Public domain,
d006,d006_alsedo_1766.pdf,"Plano geográfico e hidrográfico del distrito de la Real Audiencia de Quito y descripciones de las provincias, gobiernos y corregimientos que se comprenden en su jurisdicción, y las ciudades, asientos y pueblos que ocupan sus territorios",Dionisio de Alsedo y Herrera,1766,"En Biblioteca Nacional de España, Sede Recoletos.",geografía; hidrografía; provincias; Quito,http://bdh-rd.bne.es/viewer.vm?id=0000129885&page=1,,,,,,application/pdf,es,Public domain,
d007,d007_julian_1787.pdf,"La perla de la América, provincia de Santa Marta. Reconocida, observada y expuesta en discursos históricos a mayor bien de la Católica monarquía, formento del comercio de España, y de todo el Nuevo Reino de Granada, e incremento de la cristiana religión entre las naciones bárbaras que subsisten todavía rebeldes en la provincia.",Antonio Julián,1787,"Julián, Antonio. 1787. La Perla de la America, Provincia de Santa Marta, reconocida, observada, y expuesta en discursos historicos.",despoblamiento; tierras desiertas; poblamiento; comercio; evangelización; cristiandad; historiografía; Caribe; indios,http://www.memoriachilena.gob.cl/602/w3-article-9536.html,,,,,,application/pdf,es,Public domain,
d008,d008_caldas_1803.pdf,"Viaje de Quito a las Costas de Océano Pacífico por Malbucho, hecho en julio y agosto de 1803 ",Francisco José de Caldas,1803,"Caldas, Francisco. Viaje: de Quito a las costas del Océano Pacífico, por Malbucho, hecho en julio y agosto de 1803. Universidad Nacional de Colombia Proyectos Temáticos Biblioteca Virtual Colombiana Colección general. Imprenta Nacional. 1966",diario; geografía; evangelización; Pacífico; clima; corografía,https://repositorio.unal.edu.co/handle/unal/2109,,,,,,application/pdf,es,Public domain,
d009,d009_gilii_1784.pdf,"Ensayo de historia americana; o sea, Historia natural, civil y sacra de los reinos, y de las provincias deTierra Firme en la América meridional. Estado presente de la Tierra Firme.  ",Filippo Salvadore Gilii,1784,"Filippo Salvadore Gilii, Ensayo de historia americana; o sea, Historia natural, civil y sacra de los reinos, y de las provincias deTierra Firme en la América meridional. Estado presente de la Tierra Firme.  Bogotá: Editorial Sucre, 1955.",Orinoco; geografía; botánica; zoología; meteorología; indios; evangelización; misiones; Tierra Firme; historia natural,https://babel.banrepcultural.org/digital/collection/p17054coll10/id/3328,,,,,,application/pdf,es,Public domain,
d010,d010_mejia_dela_cerda_1772.pdf,"Relación del estado del Vireinato de SantaFé, que hace él Excelentisílllo Seiíor Don Pedro Messía de la Zerda á su sucesor el Excelentísimo Señor Don Manuel Guirior. Año de 1772.",Pedro Messia de la Zerda,1772,"Messia de la Zerda, Pedro.  Relación del estado del Vireinato de Santafé. Anales De La Universidad Nacional De Los Estados Unidos De Colombia (1868-1875); Vol. 2, Núm. 8 (1869): Anales De La Universidad Nacional De Los Estados Unidos De Colombia (Abr. 1869); 90-111. Anales de la Universidad Nacional de los Estados Unidos de Colombia (1868-1875), 1869.",religión; estado eclesiástico; hacienda; gobierno;  administración de justicia; guerra,https://revistas.unal.edu.co/index.php/analesun/article/view/12467/13060,,,,,,application/pdf,es,Public domain,
